구,법정동,아파트명,r_c,n,last_ym,r_dong,입지가치지수,avg_price_per_sqm,median_amount,lat,lon,subway_dist_km,nearest_station,commute_minutes,pred_idx,final_resid,deviation_pct,zone,extreme_deviation,blue_candidate_lowconf,confidence
강북구,미아동,에스케이북한산시티,-0.3876833941644912,217,202603,-0.33818170998307784,-0.3865684913676125,895.7274490047123,67500.0,37.6184432414034,127.013039501497,0.20694604792593552,솔샘 우이신설선,39,-0.10756361813180138,-0.27900487323581113,-27.9,Gray,False,False,높음
강동구,고덕동,고덕그라시움,0.388525369753567,180,202603,0.28424493496198805,0.38570697962406486,2750.868760568976,195000.0,37.55754060136432,127.16363056171647,0.22231925428758695,상일동,22,0.21097297944190768,0.17473400018215718,17.5,Gray,False,False,높음
강동구,암사동,선사현대아파트,0.3319169138346439,169,202603,0.19820987351617922,0.32807475750365356,1844.0379403332395,126800.0,37.55224672809914,127.1266717599396,0.24454415394642676,암사,16,0.32068260733238685,0.007392150171266709,0.7,Gray,False,False,높음
은평구,응암동,녹번역e편한세상캐슬,-0.13622568276018768,167,202603,-0.3107939037815979,-0.1413003403480194,1723.2516416366889,118500.0,37.59919280698651,126.93209475348951,0.37467186816629966,녹번,46,-0.26685655941158604,0.12555621906356665,12.6,Gray,False,False,높음
송파구,신천동,파크리오,0.8893601131516828,159,202603,0.6911988709460589,0.8833186118649261,3496.923639286613,280000.0,37.52122940631966,127.10998251166994,0.4578034520295568,몽촌토성,13,0.34286657778554047,0.5404520340793857,54.0,Red,False,False,높음
강동구,상일동,고덕아르테온,0.22516368376252496,158,202603,0.11957279321176165,0.22192469938980217,2421.7886792583977,188750.0,37.55500651472703,127.16845975290046,0.29193430324061853,상일동,24,0.1619546394192215,0.059970059970580664,6.0,Gray,False,False,높음
강동구,고덕동,래미안힐스테이트고덕,0.34725236486287975,158,202603,0.28424493496198805,0.3453196216143861,2403.837717563294,185000.0,37.5595258727289,127.149057394089,0.6713170544827556,고덕,22,0.13840624399591994,0.20691337761846618,20.7,Gray,False,False,높음
강동구,암사동,롯데캐슬퍼스트,0.2626169464542434,158,202603,0.19820987351617922,0.26064126937025367,1853.579170146672,168250.0,37.55662489972904,127.1430397571237,0.4867465876608344,암사사공원,16,0.28153800590207245,-0.020896736531818783,-2.1,Gray,False,False,높음
관악구,봉천동,벽산블루밍,-0.11039860238459044,154,202603,-0.11290084667273516,-0.11047728931189058,1203.2991097629808,90500.0,37.48994503623179,126.94451210283677,0.8675024690146143,봉천,36,-0.1576715207719812,0.047194231460090635,4.7,Gray,False,False,높음
노원구,중계동,중계그린1단지,-0.1615267898997513,152,202603,-0.2126795577727421,-0.16315585894029241,1102.2785860320148,51500.0,37.64146002636925,127.06453212641915,0.40557441640585523,중계,36,-0.08301500625416058,-0.08014085268613183,-8.0,Gray,False,False,높음
동대문구,답십리동,래미안위브,0.13129615874652756,152,202603,-0.06863442536384452,0.1249289426920571,1799.730661409395,143350.0,37.57159835155525,127.05337841766884,0.5191341936273112,답십리,24,0.12523473938433938,-0.0003057966922822841,-0.0,Gray,False,False,높음
송파구,가락동,헬리오시티,0.6385138065174688,149,202603,0.34098738251185506,0.6288538576861177,3416.520513691173,279000.0,37.4996100876749,127.111610941234,0.052698549734073785,송파,16,0.35168857039345774,0.27716528729265993,27.7,Gray,False,False,높음
성동구,하왕십리동,센트라스,0.4059277144975164,142,202603,0.21652617315376482,0.3994854852001099,2537.2330852086498,185000.0,37.56553911024445,127.02706905928386,0.22965701652130632,상왕십리,21,0.22867065534422049,0.17081482985588942,17.1,Gray,False,False,높음
서대문구,북가좌동,DMC래미안e편한세상,0.023807871599933708,142,202603,-0.12483944725254766,0.018751840346447946,1539.894618696781,130000.0,37.573666935484006,126.91067768766229,0.6577967146218257,가좌 경의중앙선,39,-0.18042981266893865,0.1991816530153866,19.9,Gray,False,False,높음
동대문구,전농동,래미안크레시티,0.1788473103759428,140,202603,-0.030261526060465786,0.17163666084365284,1879.65102143254,153000.0,37.576333475735964,127.05249313864849,0.7987190908284153,청량리,26,0.0422812076461726,0.12935545319748024,12.9,Gray,False,False,높음
관악구,봉천동,관악드림(동아),-0.06547967018338254,135,202603,-0.11290084667273516,-0.06717328362943084,1233.4757880520228,97000.0,37.4750064,126.9571404,0.6092350740684154,낙성대,36,-0.11593051064846016,0.04875722701902932,4.9,Gray,False,False,높음
노원구,중계동,중계무지개,-0.2132834849082389,133,202603,-0.2126795577727421,-0.2132616034902861,1035.4706049203319,51000.0,37.6427157598219,127.066582911007,0.3423677979229038,중계,36,-0.0727995932612816,-0.1404620102290045,-14.0,Gray,False,False,높음
노원구,상계동,상계주공6(고층),-0.17400467855561255,132,202603,-0.33837159335803557,-0.18000347106664988,1168.0122444338049,60600.0,37.66727,127.07242,0.6705814960057204,불암산,42,-0.23914688174013743,0.05914341067348755,5.9,Gray,False,False,높음
서대문구,남가좌동,DMC파크뷰자이1단지,0.05112699446247373,132,202603,-0.02479971900169507,0.04835594652582523,1711.7349901694395,141000.0,37.5719118733027,126.915680881773,0.36049102289423024,가좌 경의중앙선,46,-0.264564660326977,0.3129206068528022,31.3,Red,False,False,높음
